productCode,productName,productScale,estimatedLength(in),estimatedWidth(in),estimatedHeight(in),estimatedFootprint(sq.ft),estimatedVolume(cu.ft)
S10_1678,1969 Harley Davidson Ultimate Chopper,1:10,18.5,7.6,5.7,0.9764,0.4638
S10_1949,1952 Alpine Renault 1300,1:10,15.0,6.0,5.0,0.625,0.2604
S10_2016,1996 Moto Guzzi 1100i,1:10,15.5,6.2,4.8,0.6674,0.2669
S10_4698,2003 Harley-Davidson Eagle Drag Bike,1:10,18.5,7.8,6.0,1.0021,0.501
S10_4757,1972 Alfa Romeo GTA,1:10,18.8,7.6,5.6,0.9922,0.463
S10_4962,1962 LanciaA Delta 16V,1:10,17.0,6.8,5.5,0.8028,0.3679
S12_1099,1968 Ford Mustang,1:12,15.42,6.25,4.67,0.6691,0.2602
S12_1108,2001 Ferrari Enzo,1:12,14.58,6.17,4.67,0.6245,0.2429
S12_1666,1958 Setra Bus,1:12,16.67,6.5,5.17,0.7523,0.3239
S12_2823,2002 Suzuki XREO,1:12,15.0,6.33,4.83,0.6597,0.2657
S12_3148,1969 Corvair Monza,1:18,10.28,4.22,3.17,0.3014,0.0795
S12_3380,1968 Dodge Charger,1:12,15.42,6.25,4.67,0.6691,0.2602
S12_3891,1969 Ford Falcon,1:12,15.42,6.33,4.75,0.678,0.2684
S12_3990,1970 Plymouth Hemi Cuda,1:12,16.0,6.5,4.67,0.7222,0.2809
S12_4473,1957 Chevy Pickup,1:12,15.83,6.25,4.83,0.6872,0.2768
S12_4675,1969 Dodge Charger,1:12,15.42,6.33,4.75,0.678,0.2684
S18_1097,1940 Ford Pickup Truck,1:18,10.0,4.0,3.33,0.2778,0.0772
S18_1129,1993 Mazda RX-7,1:18,9.33,3.78,2.78,0.2449,0.0567
S18_1342,1937 Lincoln Berline,1:18,9.17,3.89,3.28,0.2476,0.0676
S18_1367,1936 Mercedes-Benz 500K Special Roadster,1:18,9.0,3.78,3.22,0.2361,0.0634
S18_1589,1965 Aston Martin DB5,1:18,10.0,3.89,3.06,0.2701,0.0688
S18_1662,1980s Black Hawk Helicopter,1:18,9.72,4.0,3.0,0.2701,0.0675
S18_1749,1917 Grand Touring Sedan,1:18,10.0,4.0,3.11,0.2778,0.072
S18_1889,1948 Porsche 356-A Roadster,1:18,9.33,4.0,3.22,0.2593,0.0696
S18_1984,1995 Honda Civic,1:18,8.89,3.67,3.11,0.2263,0.0587
S18_2238,1998 Chrysler Plymouth Prowler,1:18,9.56,4.11,3.0,0.2728,0.0682
S18_2248,1911 Ford Town Car,1:18,10.0,4.0,3.11,0.2778,0.072
S18_2319,1964 Mercedes Tour Bus,1:18,17.78,5.78,6.67,0.7133,0.3963
S18_2325,1932 Model A Ford J-Coupe,1:18,9.72,3.78,2.89,0.2551,0.0614
S18_2432,1926 Ford Fire Engine,1:18,16.67,5.33,6.67,0.6173,0.3429
S18_2581,P-51-D Mustang,1:72,5.0,5.12,1.67,0.178,0.0247
S18_2625,1936 Harley Davidson El Knucklehead,1:18,9.0,3.78,3.22,0.2361,0.0634
S18_2795,1928 Mercedes-Benz SSK,1:18,10.0,4.0,3.11,0.2778,0.072
S18_2870,1999 Indy 500 Monte Carlo SS,1:18,9.72,4.17,3.06,0.2813,0.0716
S18_2949,1913 Ford Model T Speedster,1:18,10.0,4.0,3.11,0.2778,0.072
S18_2957,1934 Ford V8 Coupe,1:18,8.89,3.78,3.11,0.2332,0.0605
S18_3029,1999 Yamaha Speed Boat,1:18,9.72,4.17,3.06,0.2813,0.0716
S18_3136,18th Century Vintage Horse Carriage,1:18,10.0,4.0,5.0,0.2778,0.1157
S18_3140,1903 Ford Model A,1:18,10.0,4.0,3.11,0.2778,0.072
S18_3232,1992 Ferrari 360 Spider red,1:18,10.0,4.0,3.11,0.2778,0.072
S18_3233,1985 Toyota Supra,1:18,9.44,3.89,2.89,0.2551,0.0614
S18_3259,Collectable Wooden Train,1:18,4.72,2.67,6.67,0.0874,0.0486
S18_3278,1969 Dodge Super Bee,1:18,10.28,4.22,3.17,0.3014,0.0795
S18_3320,1917 Maxwell Touring Car,1:18,10.0,4.0,3.11,0.2778,0.072
S18_3482,1976 Ford Gran Torino,1:18,11.11,4.44,3.22,0.3429,0.0921
S18_3685,1948 Porsche Type 356 Roadster,1:18,9.33,4.0,3.22,0.2593,0.0696
S18_3782,1957 Vespa GS150,1:18,10.56,4.17,3.22,0.3054,0.082
S18_3856,1941 Chevrolet Special Deluxe Cabriolet,1:18,10.0,4.0,3.11,0.2778,0.072
