warehouseCode,productCode,productLine,buyPrice,quantityInStock,investmentValue,priceEach,quantitySold,lineRevenue,grossRevenue
a,S10_1678,Motorcycles,48.81,7933,387209.73,81.35,124,244.05,30262.20
a,S10_1678,Motorcycles,48.81,7933,387209.73,86.13,34,86.13,2928.42
a,S10_1678,Motorcycles,48.81,7933,387209.73,90.92,82,181.84,14910.88
a,S10_1678,Motorcycles,48.81,7933,387209.73,76.56,118,306.24,36136.32
a,S10_1678,Motorcycles,48.81,7933,387209.73,94.74,77,189.48,14589.96
a,S10_1678,Motorcycles,48.81,7933,387209.73,95.70,84,191.40,16077.60
a,S10_1678,Motorcycles,48.81,7933,387209.73,82.30,22,82.30,1810.60
a,S10_1678,Motorcycles,48.81,7933,387209.73,80.39,121,241.17,29181.57
a,S10_1678,Motorcycles,48.81,7933,387209.73,91.87,23,91.87,2113.01
a,S10_1678,Motorcycles,48.81,7933,387209.73,93.79,59,93.79,5533.61
a,S10_1678,Motorcycles,48.81,7933,387209.73,89.00,34,89.00,3026.00
a,S10_1678,Motorcycles,48.81,7933,387209.73,84.22,129,252.66,32593.14
a,S10_1678,Motorcycles,48.81,7933,387209.73,92.83,20,92.83,1856.60
a,S10_1678,Motorcycles,48.81,7933,387209.73,77.52,40,77.52,3100.80
a,S10_1678,Motorcycles,48.81,7933,387209.73,85.17,24,85.17,2044.08
a,S10_1678,Motorcycles,48.81,7933,387209.73,79.43,66,79.43,5242.38
b,S10_1949,"Classic Cars",98.58,7305,720126.90,214.30,103,642.90,66218.70
b,S10_1949,"Classic Cars",98.58,7305,720126.90,197.16,29,197.16,5717.64
b,S10_1949,"Classic Cars",98.58,7305,720126.90,205.73,130,822.92,106979.60
b,S10_1949,"Classic Cars",98.58,7305,720126.90,186.44,37,186.44,6898.28
b,S10_1949,"Classic Cars",98.58,7305,720126.90,182.16,81,364.32,29509.92
b,S10_1949,"Classic Cars",98.58,7305,720126.90,212.16,21,212.16,4455.36
b,S10_1949,"Classic Cars",98.58,7305,720126.90,207.87,34,207.87,7067.58
b,S10_1949,"Classic Cars",98.58,7305,720126.90,180.01,63,360.02,22681.26
b,S10_1949,"Classic Cars",98.58,7305,720126.90,203.59,89,407.18,36239.02
b,S10_1949,"Classic Cars",98.58,7305,720126.90,195.01,99,585.03,57917.97
b,S10_1949,"Classic Cars",98.58,7305,720126.90,177.87,32,177.87,5691.84
b,S10_1949,"Classic Cars",98.58,7305,720126.90,171.44,21,171.44,3600.24
b,S10_1949,"Classic Cars",98.58,7305,720126.90,210.01,37,210.01,7770.37
b,S10_1949,"Classic Cars",98.58,7305,720126.90,201.44,97,402.88,39079.36
b,S10_1949,"Classic Cars",98.58,7305,720126.90,188.58,56,377.16,21120.96
b,S10_1949,"Classic Cars",98.58,7305,720126.90,199.30,32,199.30,6377.60
a,S10_2016,Motorcycles,68.99,6625,457058.75,105.86,100,317.58,31758.00
a,S10_2016,Motorcycles,68.99,6625,457058.75,118.94,124,356.82,44245.68
a,S10_2016,Motorcycles,68.99,6625,457058.75,116.56,96,349.68,33569.28
a,S10_2016,Motorcycles,68.99,6625,457058.75,104.67,37,104.67,3872.79
a,S10_2016,Motorcycles,68.99,6625,457058.75,101.10,37,101.10,3740.70
a,S10_2016,Motorcycles,68.99,6625,457058.75,97.53,27,97.53,2633.31
a,S10_2016,Motorcycles,68.99,6625,457058.75,99.91,93,199.82,18583.26
a,S10_2016,Motorcycles,68.99,6625,457058.75,111.80,38,111.80,4248.40
a,S10_2016,Motorcycles,68.99,6625,457058.75,112.99,23,112.99,2598.77
a,S10_2016,Motorcycles,68.99,6625,457058.75,110.61,94,221.22,20794.68
a,S10_2016,Motorcycles,68.99,6625,457058.75,115.37,139,461.48,64145.72
a,S10_2016,Motorcycles,68.99,6625,457058.75,107.05,40,107.05,4282.00
a,S10_2016,Motorcycles,68.99,6625,457058.75,102.29,45,102.29,4603.05
a,S10_2016,Motorcycles,68.99,6625,457058.75,109.42,20,109.42,2188.40
a,S10_2016,Motorcycles,68.99,6625,457058.75,117.75,40,117.75,4710.00
a,S10_2016,Motorcycles,68.99,6625,457058.75,95.15,20,95.15,1903.00
a,S10_2016,Motorcycles,68.99,6625,457058.75,114.18,26,114.18,2968.68
a,S10_4698,Motorcycles,91.02,5582,508073.64,172.36,70,344.72,24130.40
a,S10_4698,Motorcycles,91.02,5582,508073.64,158.80,107,476.40,50974.80
a,S10_4698,Motorcycles,91.02,5582,508073.64,187.85,51,375.70,19160.70
a,S10_4698,Motorcycles,91.02,5582,508073.64,154.93,69,309.86,21380.34
a,S10_4698,Motorcycles,91.02,5582,508073.64,170.42,22,170.42,3749.24
a,S10_4698,Motorcycles,91.02,5582,508073.64,160.74,20,160.74,3214.80
a,S10_4698,Motorcycles,91.02,5582,508073.64,164.61,96,493.83,47407.68
a,S10_4698,Motorcycles,91.02,5582,508073.64,182.04,67,364.08,24393.36
a,S10_4698,Motorcycles,91.02,5582,508073.64,191.72,49,191.72,9394.28
a,S10_4698,Motorcycles,91.02,5582,508073.64,189.79,120,569.37,68324.40
a,S10_4698,Motorcycles,91.02,5582,508073.64,193.66,41,193.66,7940.06
a,S10_4698,Motorcycles,91.02,5582,508073.64,166.55,27,166.55,4496.85
